CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
311.6297,249.7022,313.5314,250.2082,320.4101,240.1432,316.3732,237.5242,14138,1.901726,0.505963,-4.036915,-2.619056,0
311.921,251.6265,314.9069,249.6922,318.6446,240.7177,295.5267,242.3778,14543,2.985929,-1.934319,-23.11786,1.660094,0
319.7464,237.6177,321.7835,234.9654,321.3956,233.2128,327.0595,204.8784,18133,2.037066,-2.652283,5.663878,-28.33439,0
320.3389,246.949,321.9617,244.1255,322.2428,244.5793,330.2478,246.3372,16578,1.622781,-2.823531,8.004968,1.757844,0
311.7997,239.2225,313.5869,242.179,313.4347,242.491,297.9813,251.9231,17782,1.787233,2.956517,-15.45333,9.432046,0
0,0,0,0,315.241,239.9735,295.4995,254.8072,16496,0,0,-19.74151,14.83369,1
314.9267,250.1761,317.9147,248.5893,323.5366,241.078,313.0927,242.2441,13849,2.988062,-1.586784,-10.44394,1.16608,0
317.9018,236.2643,317.2231,238.3878,321.2283,238.886,319.8042,241.9879,13419,-0.678759,2.123466,-1.4241,3.101848,0
319.2303,243.4856,320.1043,241.4793,322.4261,241.0752,331.2834,242.8112,15658,0.873997,-2.006295,8.857326,1.735984,0
319.5225,239.105,319.9668,240.4957,317.609,240.0667,306.9836,247.4357,11420,0.444369,1.3907,-10.62543,7.36906,0
314.5969,250.2765,312.6116,252.5503,320.8403,246.1281,331.3405,244.3312,21155,-1.985343,2.273775,10.5001,-1.796893,0
309.3466,253.0086,309.7245,250.8803,317.588,243.1968,301.1155,246.4467,14363,0.377905,-2.128266,-16.4725,3.249868,0
321.1786,245.9825,321.0493,243.9322,323.3123,243.8772,332.3638,246.4005,16160,-0.129294,-2.050294,9.051516,2.523332,0
318.5238,241.4453,315.6631,239.8839,321.729,239.4455,332.6438,242.3813,16135,-2.860682,-1.561478,10.91484,2.935747,0
319.2085,252.8558,323.106,254.1474,327.0599,244.9722,336.2507,247.1294,20739,3.897546,1.29159,9.190738,2.157178,0
313.8882,237.1629,316.6219,238.2397,310.003,239.2054,294.4069,247.3126,14935,2.733624,1.076756,-15.59606,8.107235,0
311.3072,251.4161,309.1852,249.885,320.2986,241.0508,307.1852,242.0214,13773,-2.121996,-1.531107,-13.11344,0.970571,0
315.1859,239.3919,314.493,241.0662,317.6985,234.0256,317.5227,240.13,19279,-0.692924,1.6743,-0.175724,6.104429,0
320.1466,241.4444,318.8142,240.4014,317.1281,242.8271,305.9998,247.2338,11576,-1.33238,-1.042959,-11.1283,4.406697,0
320.9704,243.0488,320.0925,241.0778,324.5876,241.1586,332.8899,243.6621,18271,-0.87789,-1.971059,8.302371,2.503532,0
314.9481,244.8842,312.6219,244.3651,318.0414,242.5768,320.2969,242.5548,22243,-2.326189,-0.519047,2.255522,-0.02196,0
313.8339,239.0632,313.362,241.6599,318.9769,242.0935,322.4468,249.868,14584,-0.471892,2.596644,3.46986,7.774514,0
318.0257,247.3907,319.777,246.0889,325.0476,238.3146,331.7719,230.1287,20556,1.751341,-1.301812,6.724318,-8.185925,0
317.4061,245.3952,319.399,244.7373,319.8249,240.3425,313.9181,243.9979,18462,1.99285,-0.65789,-5.90683,3.655394,0
318.3726,238.9086,317.7035,240.3587,317.0567,240.7172,310.6148,249.9081,12138,-0.669047,1.450194,-6.441896,9.190889,0
317.6157,239.7016,316.2452,240.7357,318.5711,243.6779,308.5988,256.1161,12924,-1.370464,1.034039,-9.972254,12.43827,1
320.1163,241.8491,320.5455,240.3073,323.2911,239.7829,329.2946,244.7325,15849,0.429246,-1.541794,6.003528,4.949618,0
307.1487,249.9487,309.5781,249.7741,315.5358,238.2501,293.6196,243.3188,13784,2.429414,-0.174652,-21.91623,5.068769,0
319.8505,238.9785,317.7852,238.3609,316.6318,240.127,301.861,243.5895,11795,-2.065286,-0.617603,-14.77085,3.462484,0
317.2441,239.363,316.8718,242.2991,320.8536,239.7999,335.1096,246.6658,12759,-0.372365,2.936155,14.25597,6.86593,0
319.6285,240.5603,317.4096,240.8369,323.4239,238.1422,331.6985,244.984,15298,-2.218923,0.276609,8.274524,6.841746,0
316.7003,238.7304,319.4371,238.2583,313.2335,240.0216,300.3755,246.8246,11212,2.736742,-0.472034,-12.858,6.802985,0
306.3247,252.8691,305.7111,251.8382,315.5619,241.5718,303.7512,246.6229,14638,-0.613553,-1.030924,-11.81072,5.051108,0
377.7067,241.3218,380.2011,240.3393,383.3379,233.8863,396.9519,216.9134,14579,2.494454,-0.982512,13.61406,-16.97287,0
